,Date,OptionPrice,StrikePrice,OptionSymbol,ExpiryDate,FuturePrice,OptionType,tte,IV
18884,2023-04-12 14:16:00,30.0,850,AXISBANK25MAY23850CE,2023-05-25 15:30:00,850.45,c,0.12020555555555555,0.2532661721789564
18891,2023-04-10 09:31:00,14.15,850,AXISBANK27APR23850PE,2023-04-27 15:30:00,851.2,p,0.05299722222222222,0.18872756879323044
18898,2023-04-10 14:37:00,24.9,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,846.7,p,0.12814722222222222,0.19163339735138446
18900,2023-04-11 15:25:00,32.5,850,AXISBANK25MAY23850CE,2023-05-25 15:30:00,853.65,c,0.12401388888888888,0.2561219267567752
18902,2023-04-13 10:39:00,21.15,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,850.35,p,0.11680833333333333,0.18399074445141803
18904,2023-04-11 14:15:00,13.1,850,AXISBANK27APR23850PE,2023-04-27 15:30:00,849.8,p,0.04820833333333333,0.1746315961445376
18910,2023-04-10 12:06:00,29.0,850,AXISBANK25MAY23850CE,2023-05-25 15:30:00,848.0,c,0.12856666666666666,0.24701752909864128
18913,2023-04-13 09:21:00,21.1,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,850.0,p,0.117025,0.18192157971126058
18918,2023-04-11 09:38:00,17.5,850,AXISBANK27APR23850CE,2023-04-27 15:30:00,849.6,c,0.04897777777777778,0.23592753075628817
18919,2023-04-13 13:44:00,11.75,850,AXISBANK27APR23850PE,2023-04-27 15:30:00,851.25,p,0.040294444444444445,0.18152879226063823
18921,2023-04-13 12:27:00,23.75,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,847.7,p,0.11650833333333334,0.19539405271412463
18922,2023-04-10 10:36:00,29.3,850,AXISBANK25MAY23850CE,2023-05-25 15:30:00,848.55,c,0.12881666666666666,0.2469449768600539
18924,2023-04-11 14:49:00,18.9,850,AXISBANK27APR23850CE,2023-04-27 15:30:00,854.15,c,0.04811388888888889,0.2245744798400264
18929,2023-04-10 12:13:00,16.45,850,AXISBANK27APR23850CE,2023-04-27 15:30:00,848.65,c,0.05254722222222222,0.22039568484399336
18931,2023-04-13 13:31:00,21.85,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,851.5,p,0.11633055555555556,0.19519896683762292
18940,2023-04-13 10:33:00,30.95,850,AXISBANK25MAY23850CE,2023-05-25 15:30:00,851.7,c,0.11682500000000001,0.25945837460325777
18956,2023-04-12 09:20:00,17.25,850,AXISBANK27APR23850CE,2023-04-27 15:30:00,850.0,c,0.04502777777777778,0.23975445490042938
18958,2023-04-10 10:15:00,16.1,850,AXISBANK27APR23850CE,2023-04-27 15:30:00,847.45,c,0.052875,0.22280466506346985
18959,2023-04-13 11:27:00,15.05,850,AXISBANK27APR23850PE,2023-04-27 15:30:00,846.0,p,0.040675,0.18984028436912515
18960,2023-04-06 15:28:00,14.3,850,AXISBANK27APR23850PE,2023-04-27 15:30:00,851.2,p,0.060005555555555555,0.17917016945959824
18961,2023-04-12 14:15:00,12.45,850,AXISBANK27APR23850PE,2023-04-27 15:30:00,851.45,p,0.04420833333333333,0.1844622355228232
18965,2023-04-11 13:21:00,22.0,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,849.3,p,0.12435833333333333,0.18113736617113618
18972,2023-04-10 10:15:00,16.6,850,AXISBANK27APR23850PE,2023-04-27 15:30:00,847.45,p,0.052875,0.19641550843078595
18984,2023-04-11 10:25:00,23.0,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,848.65,p,0.12484722222222222,0.1864533774022553
18994,2023-04-11 14:17:00,22.0,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,849.3,p,0.12420277777777777,0.1812507618102256
19009,2023-04-12 15:28:00,31.5,850,AXISBANK25MAY23850CE,2023-05-25 15:30:00,852.1,c,0.12000555555555555,0.25888253952861345
19011,2023-04-12 14:30:00,16.75,850,AXISBANK27APR23850CE,2023-04-27 15:30:00,850.45,c,0.04416666666666667,0.231828887959296
19014,2023-04-06 13:53:00,13.1,850,AXISBANK27APR23850PE,2023-04-27 15:30:00,854.05,p,0.060269444444444445,0.1802285599101507
19017,2023-04-06 09:39:00,14.35,850,AXISBANK27APR23850PE,2023-04-27 15:30:00,852.2,p,0.060974999999999994,0.1839912856801603
19044,2023-04-06 14:01:00,32.95,850,AXISBANK25MAY23850CE,2023-05-25 15:30:00,853.45,c,0.13624722222222224,0.2488054605977661
19048,2023-04-13 11:39:00,23.5,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,847.0,p,0.11664166666666667,0.19004947574848424
19050,2023-04-10 13:52:00,16.0,850,AXISBANK27APR23850CE,2023-04-27 15:30:00,848.2,c,0.05227222222222222,0.2180393703398967
19052,2023-04-10 13:26:00,17.15,850,AXISBANK27APR23850CE,2023-04-27 15:30:00,850.0,c,0.05234444444444444,0.22107830625450026
19056,2023-04-12 13:41:00,30.4,850,AXISBANK25MAY23850CE,2023-05-25 15:30:00,850.2,c,0.12030277777777777,0.25767230034761973
19073,2023-04-12 12:58:00,29.35,850,AXISBANK25MAY23850CE,2023-05-25 15:30:00,848.4,c,0.12042222222222222,0.256483864839216
19074,2023-04-12 11:37:00,16.4,850,AXISBANK27APR23850CE,2023-04-27 15:30:00,848.85,c,0.04464722222222222,0.2370086570271638
19078,2023-04-10 12:32:00,30.5,850,AXISBANK25MAY23850CE,2023-05-25 15:30:00,849.85,c,0.12849444444444444,0.25164019147205086
19083,2023-04-10 14:34:00,15.0,850,AXISBANK27APR23850CE,2023-04-27 15:30:00,846.1,c,0.05215555555555555,0.21847095432736527
19087,2023-04-12 13:18:00,15.6,850,AXISBANK27APR23850CE,2023-04-27 15:30:00,848.1,c,0.044366666666666665,0.23174663004182725
19090,2023-04-11 09:32:00,24.3,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,848.7,p,0.12499444444444445,0.19741166011749553
19092,2023-04-11 14:05:00,22.0,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,850.45,p,0.12423611111111112,0.18592485775034942
19094,2023-04-13 09:20:00,16.3,850,AXISBANK27APR23850CE,2023-04-27 15:30:00,850.5,c,0.04102777777777778,0.23360724959425805
19095,2023-04-12 10:38:00,12.95,850,AXISBANK27APR23850PE,2023-04-27 15:30:00,851.05,p,0.04481111111111111,0.1875242161319818
19097,2023-04-06 13:53:00,21.0,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,854.05,p,0.13626944444444444,0.18308327287791806
19108,2023-04-28 11:36:00,25.6,850,AXISBANK25MAY23850CE,2023-05-25 15:30:00,854.75,c,0.07264999999999999,0.2525981001665917
19110,2023-04-10 10:55:00,25.0,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,847.5,p,0.1287638888888889,0.19533611397761239
19113,2023-04-12 10:13:00,21.85,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,850.25,p,0.12088055555555555,0.18639288341965
19122,2023-04-06 14:12:00,14.65,850,AXISBANK27APR23850PE,2023-04-27 15:30:00,851.0,p,0.06021666666666666,0.18190949023727362
19123,2023-04-13 09:20:00,29.6,850,AXISBANK25MAY23850CE,2023-05-25 15:30:00,850.5,c,0.11702777777777779,0.25300694571049087
19126,2023-04-13 11:23:00,15.0,850,AXISBANK27APR23850PE,2023-04-27 15:30:00,845.55,p,0.04068611111111111,0.18544921623325178
19134,2023-04-28 10:46:00,25.7,850,AXISBANK25MAY23850CE,2023-05-25 15:30:00,854.9,c,0.07278888888888889,0.2525540322876657
19148,2023-04-11 10:42:00,24.8,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,845.9,p,0.1248,0.1899108239222929
19151,2023-04-10 13:47:00,23.5,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,848.85,p,0.1282861111111111,0.18887753484252168
19153,2023-04-11 11:20:00,29.95,850,AXISBANK25MAY23850CE,2023-05-25 15:30:00,847.7,c,0.12469444444444444,0.2600515976810477
19155,2023-04-10 11:53:00,29.0,850,AXISBANK25MAY23850CE,2023-05-25 15:30:00,847.65,c,0.1286027777777778,0.24844372328029354
19161,2023-04-10 13:01:00,30.0,850,AXISBANK25MAY23850CE,2023-05-25 15:30:00,850.05,c,0.12841388888888888,0.24674751750096624
19165,2023-04-11 13:41:00,22.0,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,850.55,p,0.12430277777777778,0.18627939124680995
19170,2023-04-12 15:05:00,13.0,850,AXISBANK27APR23850PE,2023-04-27 15:30:00,850.45,p,0.04406944444444444,0.18572503747590674
19171,2023-04-10 13:39:00,23.5,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,849.45,p,0.12830833333333333,0.19129579323218637
19172,2023-04-10 10:16:00,24.65,850,AXISBANK25MAY23850PE,2023-05-25 15:30:00,847.8,p,0.12887222222222222,0.19361117542755718
19174,2023-04-13 13:48:00,11.45,850,AXISBANK27APR23850PE,2023-04-27 15:30:00,851.15,p,0.04028333333333333,0.17644366727352276
19181,2023-04-12 11:08:00,16.65,850,AXISBANK27APR23850CE,2023-04-27 15:30:00,849.55,c,0.044727777777777776,0.23537556520925818
19182,2023-04-13 12:39:00,14.5,850,AXISBANK27APR23850PE,2023-04-27 15:30:00,845.95,p,0.040475000000000004,0.18175865686042234
19184,2023-04-11 14:04:00,17.2,850,AXISBANK27APR23850CE,2023-04-27 15:30:00,849.2,c,0.04823888888888889,0.23641054623834798
19185,2023-04-11 13:02:00,31.5,850,AXISBANK25MAY23850CE,2023-05-25 15:30:00,849.55,c,0.12441111111111111,0.2654053328301553
19188,2023-04-11 11:11:00,14.75,850,AXISBANK27APR23850PE,2023-04-27 15:30:00,847.0,p,0.04871944444444445,0.1766238571804766
