,Date,OptionPrice,StrikePrice,OptionSymbol,ExpiryDate,FuturePrice,OptionType,tte,IV
66,2023-04-24 13:42:00,24.0,1690,HDFCBANK25MAY231690CE,2023-05-25 15:30:00,1688.9,c,0.08829999999999999,0.1225660967115261
84,2023-04-03 11:48:00,30.1,1610,HDFCBANK27APR231610CE,2023-04-27 15:30:00,1605.05,c,0.07261666666666666,0.18816781831428164
112,2023-05-02 15:13:00,18.55,1690,HDFCBANK25MAY231690CE,2023-05-25 15:30:00,1687.55,c,0.06804722222222223,0.11238638749112313
121,2023-04-12 13:40:00,23.85,1690,HDFCBANK27APR231690PE,2023-04-27 15:30:00,1686.0,p,0.044305555555555556,0.1537434536340721
237,2023-05-04 09:35:00,28.3,1690,HDFCBANK25MAY231690PE,2023-05-25 15:30:00,1691.55,p,0.06098611111111111,0.174519420186224
283,2023-05-04 09:30:00,22.1,1690,HDFCBANK25MAY231690CE,2023-05-25 15:30:00,1693.95,c,0.061,0.1203500599820654
318,2023-04-03 14:05:00,31.85,1610,HDFCBANK27APR231610CE,2023-04-27 15:30:00,1608.8,c,0.07223611111111111,0.18804527777607583
473,2023-05-02 13:51:00,28.0,1690,HDFCBANK25MAY231690PE,2023-05-25 15:30:00,1692.3,p,0.068275,0.1652852233750728
497,2023-05-04 09:39:00,28.1,1690,HDFCBANK25MAY231690PE,2023-05-25 15:30:00,1692.3,p,0.060974999999999994,0.17550035249243856
725,2023-04-12 15:17:00,36.3,1690,HDFCBANK25MAY231690PE,2023-05-25 15:30:00,1686.1,p,0.12003611111111111,0.14708774250162263
759,2023-04-13 15:23:00,19.0,1690,HDFCBANK27APR231690PE,2023-04-27 15:30:00,1693.8,p,0.04001944444444445,0.15438209697969257
776,2023-04-03 12:57:00,22.45,1610,HDFCBANK27APR231610PE,2023-04-27 15:30:00,1610.4,p,0.07242499999999999,0.13102247160067404
777,2023-05-02 14:17:00,20.3,1690,HDFCBANK25MAY231690CE,2023-05-25 15:30:00,1690.8,c,0.06820277777777778,0.11298281586005189
824,2023-05-02 10:52:00,21.9,1690,HDFCBANK25MAY231690CE,2023-05-25 15:30:00,1694.1,c,0.06877222222222222,0.1117545827573958
876,2023-04-24 13:57:00,24.25,1690,HDFCBANK25MAY231690CE,2023-05-25 15:30:00,1686.55,c,0.08825833333333333,0.12964047346113156
897,2023-05-02 14:57:00,27.5,1690,HDFCBANK25MAY231690PE,2023-05-25 15:30:00,1691.35,p,0.06809166666666668,0.1600659564362466
1120,2023-04-24 13:52:00,32.9,1690,HDFCBANK25MAY231690PE,2023-05-25 15:30:00,1688.65,p,0.08827222222222221,0.1609304948362671
1321,2023-05-03 10:17:00,30.0,1690,HDFCBANK25MAY231690PE,2023-05-25 15:30:00,1686.85,p,0.06486944444444445,0.16553729834781966
1395,2023-04-28 15:13:00,32.25,1690,HDFCBANK25MAY231690PE,2023-05-25 15:30:00,1688.95,p,0.07204722222222222,0.1753611631172007
1415,2023-04-03 14:55:00,22.75,1610,HDFCBANK27APR231610PE,2023-04-27 15:30:00,1609.85,p,0.07209722222222222,0.13149019321378205
1448,2023-04-24 14:20:00,32.95,1690,HDFCBANK25MAY231690PE,2023-05-25 15:30:00,1689.3,p,0.08819444444444444,0.16286080100718242
1490,2023-04-13 10:46:00,21.7,1690,HDFCBANK27APR231690PE,2023-04-27 15:30:00,1687.45,p,0.04078888888888889,0.1499336905765228
1749,2023-04-03 11:03:00,22.9,1610,HDFCBANK27APR231610PE,2023-04-27 15:30:00,1609.9,p,0.07274166666666666,0.13191505715433344
1929,2023-04-03 13:45:00,30.5,1610,HDFCBANK27APR231610CE,2023-04-27 15:30:00,1606.1,c,0.07229166666666666,0.18793489099067875
1955,2023-05-03 09:44:00,31.75,1690,HDFCBANK25MAY231690PE,2023-05-25 15:30:00,1685.4,p,0.06496111111111111,0.17129419705968094
1984,2023-05-03 11:28:00,18.75,1690,HDFCBANK25MAY231690CE,2023-05-25 15:30:00,1687.6,c,0.06467222222222223,0.11630829615418176
2017,2023-05-03 14:25:00,20.2,1690,HDFCBANK25MAY231690CE,2023-05-25 15:30:00,1690.5,c,0.06418055555555556,0.11678156352848348
2040,2023-04-03 09:37:00,23.7,1610,HDFCBANK27APR231610PE,2023-04-27 15:30:00,1608.15,p,0.07298055555555555,0.13126926673227932
2102,2023-04-13 12:01:00,24.55,1690,HDFCBANK27APR231690CE,2023-04-27 15:30:00,1689.15,c,0.04058055555555556,0.18392627524094915
2341,2023-05-02 11:11:00,27.65,1690,HDFCBANK25MAY231690PE,2023-05-25 15:30:00,1692.95,p,0.06871944444444444,0.16452401138348646
2448,2023-05-03 14:24:00,28.65,1690,HDFCBANK25MAY231690PE,2023-05-25 15:30:00,1689.75,p,0.06418333333333333,0.1670242837284197
2490,2023-05-04 11:53:00,19.8,1710,HDFCBANK25MAY231710CE,2023-05-25 15:30:00,1712.2,c,0.060602777777777776,0.11115895370719883
2558,2023-04-03 12:33:00,30.8,1610,HDFCBANK27APR231610CE,2023-04-27 15:30:00,1607.0,c,0.07249166666666666,0.18684215149284011
