,Date,OptionPrice,StrikePrice,OptionSymbol,ExpiryDate,FuturePrice,OptionType,tte,IV
53,2023-05-02 14:42:00,40.2,1920,KOTAKBANK25MAY231920CE,2023-05-25 15:30:00,1921.95,c,0.06813333333333334,0.1960709956291556
69,2023-05-03 15:08:00,41.8,1920,KOTAKBANK25MAY231920CE,2023-05-25 15:30:00,1929.7,c,0.06406111111111111,0.18908335726662648
82,2023-05-04 14:24:00,30.95,1940,KOTAKBANK25MAY231940PE,2023-05-25 15:30:00,1937.95,p,0.06018333333333333,0.1576444197557832
94,2023-04-28 12:16:00,34.65,1920,KOTAKBANK25MAY231920PE,2023-05-25 15:30:00,1920.9,p,0.07253888888888889,0.17010765704024786
141,2023-04-28 14:49:00,45.05,1940,KOTAKBANK25MAY231940CE,2023-05-25 15:30:00,1939.95,c,0.07211388888888888,0.21691092689689487
168,2023-04-28 13:36:00,49.45,1920,KOTAKBANK25MAY231920CE,2023-05-25 15:30:00,1925.0,c,0.07231666666666667,0.22746547988180638
171,2023-05-04 12:26:00,30.25,1940,KOTAKBANK25MAY231940CE,2023-05-25 15:30:00,1930.25,c,0.060511111111111106,0.18383690501656438
181,2023-04-28 13:32:00,33.0,1920,KOTAKBANK25MAY231920PE,2023-05-25 15:30:00,1925.2,p,0.07232777777777777,0.17230525260878138
234,2023-04-28 15:11:00,36.9,1940,KOTAKBANK25MAY231940PE,2023-05-25 15:30:00,1938.45,p,0.07205277777777777,0.17394824885148863
336,2023-05-03 14:34:00,32.5,1940,KOTAKBANK25MAY231940CE,2023-05-25 15:30:00,1932.45,c,0.06415555555555556,0.18478237696952207
383,2023-05-04 11:02:00,32.3,1940,KOTAKBANK25MAY231940CE,2023-05-25 15:30:00,1935.8,c,0.06074444444444444,0.1803365076301283
424,2023-05-04 09:48:00,34.05,1940,KOTAKBANK25MAY231940PE,2023-05-25 15:30:00,1930.2,p,0.06095,0.15156910111324934
427,2023-05-03 10:51:00,29.3,1920,KOTAKBANK25MAY231920PE,2023-05-25 15:30:00,1923.35,p,0.064775,0.15861434135038233
456,2023-05-03 15:20:00,34.4,1940,KOTAKBANK25MAY231940PE,2023-05-25 15:30:00,1933.45,p,0.06402777777777778,0.15864958436369045
488,2023-04-28 12:17:00,34.0,1920,KOTAKBANK25MAY231920PE,2023-05-25 15:30:00,1922.8,p,0.0725361111111111,0.17140384358585078
513,2023-05-02 09:29:00,31.2,1920,KOTAKBANK25MAY231920PE,2023-05-25 15:30:00,1918.65,p,0.06900277777777779,0.15174869278212885
515,2023-05-03 14:30:00,31.7,1940,KOTAKBANK25MAY231940CE,2023-05-25 15:30:00,1930.05,c,0.06416666666666666,0.18646451191875704
530,2023-05-03 10:23:00,32.15,1920,KOTAKBANK25MAY231920PE,2023-05-25 15:30:00,1917.1,p,0.06485277777777777,0.15740240940336936
540,2023-05-04 09:18:00,26.4,1920,KOTAKBANK25MAY231920PE,2023-05-25 15:30:00,1928.55,p,0.06103333333333333,0.16074805293759756
543,2023-05-03 11:35:00,39.5,1920,KOTAKBANK25MAY231920CE,2023-05-25 15:30:00,1925.8,c,0.06465277777777778,0.18728020190571515
564,2023-05-04 09:42:00,30.2,1940,KOTAKBANK25MAY231940CE,2023-05-25 15:30:00,1930.55,c,0.06096666666666666,0.18214815027100695
606,2023-05-02 12:34:00,34.5,1920,KOTAKBANK25MAY231920PE,2023-05-25 15:30:00,1914.4,p,0.06848888888888889,0.1579868136133414
625,2023-05-03 10:57:00,39.0,1920,KOTAKBANK25MAY231920CE,2023-05-25 15:30:00,1924.0,c,0.06475833333333333,0.1894646737237289
641,2023-05-04 12:35:00,33.8,1940,KOTAKBANK25MAY231940PE,2023-05-25 15:30:00,1932.75,p,0.06048611111111111,0.15810310291669252
673,2023-04-28 12:40:00,33.65,1920,KOTAKBANK25MAY231920PE,2023-05-25 15:30:00,1922.45,p,0.07247222222222222,0.1689689797508324
779,2023-05-02 14:38:00,28.2,1920,KOTAKBANK25MAY231920PE,2023-05-25 15:30:00,1927.3,p,0.06814444444444445,0.15833021347787551
780,2023-05-03 11:23:00,38.2,1920,KOTAKBANK25MAY231920CE,2023-05-25 15:30:00,1923.6,c,0.06468611111111111,0.18654347719013595
829,2023-05-03 13:34:00,28.5,1920,KOTAKBANK25MAY231920PE,2023-05-25 15:30:00,1923.5,p,0.06432222222222223,0.15541853882655682
830,2023-05-04 13:14:00,34.0,1940,KOTAKBANK25MAY231940PE,2023-05-25 15:30:00,1930.75,p,0.06037777777777777,0.15361273351069837
868,2023-04-28 15:20:00,37.3,1940,KOTAKBANK25MAY231940PE,2023-05-25 15:30:00,1937.95,p,0.07202777777777777,0.17470468309561138
894,2023-04-28 14:56:00,37.7,1940,KOTAKBANK25MAY231940PE,2023-05-25 15:30:00,1938.7,p,0.07209444444444443,0.17834872527318307
1122,2023-05-02 09:56:00,40.0,1920,KOTAKBANK25MAY231920CE,2023-05-25 15:30:00,1916.1,c,0.06892777777777778,0.2086989826988194
1125,2023-04-28 12:08:00,34.65,1920,KOTAKBANK25MAY231920PE,2023-05-25 15:30:00,1921.65,p,0.0725611111111111,0.17184487904521362
1161,2023-04-17 10:57:00,21.9,1920,KOTAKBANK27APR231920CE,2023-04-27 15:30:00,1910.05,c,0.032758333333333334,0.1922287579295165
1200,2023-05-03 12:58:00,40.6,1920,KOTAKBANK25MAY231920CE,2023-05-25 15:30:00,1928.35,c,0.06442222222222223,0.18618377141757053
