,date,open,high,low,close,volume
0,2023-06-05 09:15:00+05:30,27.55,27.55,26.55,26.55,0
1,2023-06-05 09:16:00+05:30,26.55,30.1,26.55,29.75,1850
2,2023-06-05 09:17:00+05:30,29.6,30.1,29.55,29.9,6200
3,2023-06-05 09:18:00+05:30,29.9,30.05,29.75,29.9,650
4,2023-06-05 09:19:00+05:30,29.9,29.9,28.55,29.05,2500
5,2023-06-05 09:20:00+05:30,28.7,29.1,28.15,28.55,1650
6,2023-06-05 09:21:00+05:30,28.6,28.85,27.95,28.4,500
7,2023-06-05 09:22:00+05:30,28.4,28.4,27.9,28.1,1300
8,2023-06-05 09:23:00+05:30,28.1,28.75,28.1,28.5,1450
9,2023-06-05 09:24:00+05:30,28.5,29.3,28.5,29.3,3550
10,2023-06-05 09:25:00+05:30,29.3,29.3,28.95,29.0,1650
11,2023-06-05 09:26:00+05:30,29.0,29.0,28.5,28.6,1100
12,2023-06-05 09:27:00+05:30,28.6,28.6,28.1,28.1,500
13,2023-06-05 09:28:00+05:30,28.1,28.7,28.1,28.6,400
14,2023-06-05 09:29:00+05:30,28.6,29.0,28.6,28.9,6300
15,2023-06-05 09:30:00+05:30,28.9,29.0,28.3,28.3,1350
16,2023-06-05 09:31:00+05:30,28.3,28.3,27.8,27.9,750
17,2023-06-05 09:32:00+05:30,27.9,28.0,27.7,27.7,800
18,2023-06-05 09:33:00+05:30,27.7,27.7,26.9,27.3,2200
19,2023-06-05 09:34:00+05:30,27.3,27.3,27.1,27.1,250
20,2023-06-05 09:35:00+05:30,27.1,27.1,26.7,26.8,1250
21,2023-06-05 09:36:00+05:30,26.8,27.6,26.75,27.6,800
22,2023-06-05 09:37:00+05:30,27.95,28.15,27.85,27.9,850
23,2023-06-05 09:38:00+05:30,27.9,28.5,27.9,28.2,2600
24,2023-06-05 09:39:00+05:30,28.2,28.2,27.65,27.7,1350
25,2023-06-05 09:40:00+05:30,27.7,27.7,27.35,27.35,1050
26,2023-06-05 09:41:00+05:30,27.35,27.35,27.35,27.35,0
27,2023-06-05 09:42:00+05:30,27.35,27.7,27.25,27.7,700
28,2023-06-05 09:43:00+05:30,27.7,28.0,27.5,27.75,900
29,2023-06-05 09:44:00+05:30,27.75,27.75,27.25,27.65,1350
30,2023-06-05 09:45:00+05:30,27.65,28.7,27.65,28.3,2600
31,2023-06-05 09:46:00+05:30,28.3,28.35,28.0,28.15,8200
32,2023-06-05 09:47:00+05:30,28.15,28.6,28.15,28.6,250
33,2023-06-05 09:48:00+05:30,28.6,28.75,28.5,28.5,800
34,2023-06-05 09:49:00+05:30,28.5,28.75,28.45,28.75,800
35,2023-06-05 09:50:00+05:30,28.75,28.75,28.7,28.7,400
36,2023-06-05 09:51:00+05:30,28.7,28.7,28.4,28.4,100
37,2023-06-05 09:52:00+05:30,28.4,28.4,28.1,28.1,550
38,2023-06-05 09:53:00+05:30,28.1,28.25,27.85,28.1,1300
39,2023-06-05 09:54:00+05:30,28.1,28.5,28.1,28.5,300
40,2023-06-05 09:55:00+05:30,28.4,28.5,28.0,28.15,1700
41,2023-06-05 09:56:00+05:30,28.15,28.45,27.85,28.2,750
42,2023-06-05 09:57:00+05:30,28.2,28.3,28.2,28.25,700
43,2023-06-05 09:58:00+05:30,28.25,28.3,28.25,28.3,100
44,2023-06-05 09:59:00+05:30,28.3,28.8,28.3,28.7,350
45,2023-06-05 10:00:00+05:30,28.7,28.95,28.5,28.95,1600
46,2023-06-05 10:01:00+05:30,28.95,29.0,28.95,29.0,300
47,2023-06-05 10:02:00+05:30,29.0,29.0,29.0,29.0,0
48,2023-06-05 10:03:00+05:30,29.0,29.0,28.45,28.6,250
49,2023-06-05 10:04:00+05:30,28.6,28.6,28.35,28.5,1400
50,2023-06-05 10:05:00+05:30,28.5,28.5,28.4,28.5,350
51,2023-06-05 10:06:00+05:30,28.5,28.5,28.35,28.35,50
52,2023-06-05 10:07:00+05:30,28.35,28.35,28.0,28.15,100
53,2023-06-05 10:08:00+05:30,28.15,28.6,28.15,28.55,500
54,2023-06-05 10:09:00+05:30,28.55,28.55,28.55,28.55,1050
55,2023-06-05 10:10:00+05:30,28.4,28.4,28.25,28.25,350
56,2023-06-05 10:11:00+05:30,28.25,28.95,28.25,28.95,150
57,2023-06-05 10:12:00+05:30,28.95,29.05,28.85,28.95,1000
58,2023-06-05 10:13:00+05:30,28.95,28.95,28.5,28.5,2350
59,2023-06-05 10:14:00+05:30,28.5,28.8,28.5,28.7,1400
60,2023-06-05 10:15:00+05:30,28.7,28.9,28.7,28.9,450
