,date,open,high,low,close,volume
0,2023-06-05 09:45:00+05:30,1200,1202.95,1200,1202.95,200
NIFTY23JUN17500CE,2023-06-05 09:45:00+05:30,1200,1202.95,1200,1202.95,200
NIFTY23JUN17500PE,2023-06-05 09:45:00+05:30,12.45,12.5,12.35,12.35,9450
NIFTY23JUN17600CE,2023-06-05 09:45:00+05:30,1101.35,1101.35,1101.35,1101.35,0
NIFTY23JUN17600PE,2023-06-05 09:45:00+05:30,14.05,14.15,13.9,14,4350
NIFTY23JUN17700CE,2023-06-05 09:45:00+05:30,995,995,995,995,0
NIFTY23JUN17700PE,2023-06-05 09:45:00+05:30,17.05,17.15,17.05,17.15,3750
NIFTY23JUN17800CE,2023-06-05 09:45:00+05:30,905,920,905,920,50
NIFTY23JUN17800PE,2023-06-05 09:45:00+05:30,20.25,20.5,20.2,20.5,60000
NIFTY23JUN17900CE,2023-06-05 09:45:00+05:30,810.6,810.6,810.6,810.6,0
NIFTY23JUN17900PE,2023-06-05 09:45:00+05:30,25.1,25.3,24.85,25,19050
NIFTY23JUN18000CE,2023-06-05 09:45:00+05:30,721.4,730.05,721.4,729.5,700
NIFTY23JUN18000PE,2023-06-05 09:45:00+05:30,32.7,32.95,32.2,32.5,37500
NIFTY23JUN18100CE,2023-06-05 09:45:00+05:30,631.05,642,631.05,642,1200
NIFTY23JUN18100PE,2023-06-05 09:45:00+05:30,40.75,40.85,40,40.1,7500
NIFTY23JUN18200CE,2023-06-05 09:45:00+05:30,543.6,555,543.6,555,150
NIFTY23JUN18200PE,2023-06-05 09:45:00+05:30,52.35,52.5,51.25,51.7,22700
NIFTY23JUN18300CE,2023-06-05 09:45:00+05:30,461.75,470,461.75,470,450
NIFTY23JUN18300PE,2023-06-05 09:45:00+05:30,65.9,66.15,64.3,64.85,34000
NIFTY23JUN18400CE,2023-06-05 09:45:00+05:30,382.75,388.7,382.45,388.4,1100
NIFTY23JUN18400PE,2023-06-05 09:45:00+05:30,85.35,85.7,83.2,84,7850
NIFTY23JUN18500CE,2023-06-05 09:45:00+05:30,306.65,313.9,306.65,312,10950
NIFTY23JUN18500PE,2023-06-05 09:45:00+05:30,110.35,110.8,107.55,108.5,26200
NIFTY23JUN18600CE,2023-06-05 09:45:00+05:30,241.3,245.9,240.6,244.25,21500
NIFTY23JUN18600PE,2023-06-05 09:45:00+05:30,142,142.6,138.35,139.85,39550
NIFTY23JUN18700CE,2023-06-05 09:45:00+05:30,181.2,184.85,180.25,183.2,11100
NIFTY23JUN18700PE,2023-06-05 09:45:00+05:30,180.8,181.35,176.95,177.8,6150
