Date,open,high,low,close,volume
2023-04-03 09:15:00+05:30,864,864.2,860.1,861.8,89985
2023-04-03 09:16:00+05:30,862,862.85,860.55,861.5,69470
2023-04-03 09:17:00+05:30,861.55,862,859.9,861.6,32552
2023-04-03 09:18:00+05:30,862.05,862.6,861.55,862.3,21719
2023-04-03 09:19:00+05:30,861.9,865,861.9,864.6,119950
2023-04-03 09:20:00+05:30,865,865,861.7,861.95,67066
2023-04-03 09:21:00+05:30,861.9,862.35,860.85,861.65,77563
2023-04-03 09:22:00+05:30,861.35,861.65,859.5,859.8,86944
2023-04-03 09:23:00+05:30,859.8,862.35,859.45,862.35,81744
2023-04-03 09:24:00+05:30,862.3,864.3,862.3,863.6,113194
2023-04-03 09:25:00+05:30,864,864,862.9,864,34298
2023-04-03 09:26:00+05:30,864.1,865.4,864,864.8,96880
2023-04-03 09:27:00+05:30,865.3,865.3,863.1,863.1,47397
2023-04-03 09:28:00+05:30,863,863.25,862,862,132863
2023-04-03 09:29:00+05:30,862,862.45,861.05,862.05,70549
2023-04-03 09:30:00+05:30,862.05,862.9,860.65,862.2,96220
2023-04-03 09:31:00+05:30,862.8,863.85,862.45,863,128111
2023-04-03 09:32:00+05:30,863,864,862.7,863.8,43036
2023-04-03 09:33:00+05:30,863.5,865,863.5,864.7,107089
2023-04-03 09:34:00+05:30,864.7,864.8,863.55,863.65,28741
2023-04-03 09:35:00+05:30,863.65,864.8,863.5,863.65,33021
2023-04-03 09:36:00+05:30,863.5,863.9,862.65,862.95,31355
2023-04-03 09:37:00+05:30,862.8,863.5,861.3,861.75,85324
2023-04-03 09:38:00+05:30,861.75,862,860.3,860.7,122340
2023-04-03 09:39:00+05:30,860.4,861.4,860.3,861.35,48558
2023-04-03 09:40:00+05:30,861.3,861.3,859.35,859.55,42197
2023-04-03 09:41:00+05:30,859.75,860.45,859.55,860.45,23881
2023-04-03 09:42:00+05:30,860.45,860.55,859.35,860.5,19490
2023-04-03 09:43:00+05:30,860.35,860.45,859.75,860.25,8864
2023-04-03 09:44:00+05:30,860.25,860.8,860.15,860.15,8594
2023-04-03 09:45:00+05:30,860.1,860.4,859.4,859.55,20310
2023-04-03 09:46:00+05:30,859.65,859.95,859,859.7,39442
2023-04-03 09:47:00+05:30,859.95,861,859.7,860.3,12585
2023-04-03 09:48:00+05:30,860.3,860.5,859.55,860.3,9080
2023-04-03 09:49:00+05:30,860.3,860.35,859.15,859.7,16844
2023-04-03 09:50:00+05:30,859.6,860.45,859.3,860.2,19320
2023-04-03 09:51:00+05:30,860.35,862,859.8,861.9,82163
2023-04-03 09:52:00+05:30,862,862,861,861.5,78169
2023-04-03 09:53:00+05:30,861.3,862.4,861.3,861.6,20760
2023-04-03 09:54:00+05:30,861.6,862.2,860.4,860.75,48887
2023-04-03 09:55:00+05:30,860.85,861,859.25,859.75,143096
2023-04-03 09:56:00+05:30,859.25,860.3,858.8,859.6,97268
2023-04-03 09:57:00+05:30,859.75,860.25,859.55,859.75,4210
2023-04-03 09:58:00+05:30,859.9,859.9,858.25,859.1,37236
2023-04-03 09:59:00+05:30,859.1,861,859,860.95,56981
