Date,open,high,low,close,volume
2023-04-03 09:15:00+05:30,1073,1073.25,1068.5,1070.85,97072
2023-04-03 09:16:00+05:30,1070.8,1072.1,1068.2,1069.95,22604
2023-04-03 09:17:00+05:30,1070,1070.75,1069.2,1069.5,9003
2023-04-03 09:18:00+05:30,1069.85,1069.95,1068.85,1069,11001
2023-04-03 09:19:00+05:30,1069.45,1069.5,1066.4,1066.45,9927
2023-04-03 09:20:00+05:30,1066.95,1067.5,1066,1066.15,11359
2023-04-03 09:21:00+05:30,1066.25,1066.45,1064.4,1065.1,11662
2023-04-03 09:22:00+05:30,1065,1066,1064.5,1065,6406
2023-04-03 09:23:00+05:30,1065.55,1067.7,1064.5,1067.7,7369
2023-04-03 09:24:00+05:30,1067.7,1068.85,1067,1068.5,9604
2023-04-03 09:25:00+05:30,1068.5,1068.95,1067.6,1067.65,4118
2023-04-03 09:26:00+05:30,1067.7,1068.85,1066.9,1066.95,6109
2023-04-03 09:27:00+05:30,1066.95,1067.65,1065.65,1065.65,3289
2023-04-03 09:28:00+05:30,1065.65,1066.3,1064,1064.55,11361
2023-04-03 09:29:00+05:30,1064.55,1066,1064.55,1065,6472
2023-04-03 09:30:00+05:30,1065,1065.7,1064,1065.25,9408
2023-04-03 09:31:00+05:30,1065.25,1068.1,1065.15,1067.15,6452
2023-04-03 09:32:00+05:30,1066.5,1068.25,1066.4,1067.1,5367
2023-04-03 09:33:00+05:30,1067.1,1067.95,1066.45,1067.35,8642
2023-04-03 09:34:00+05:30,1067.2,1067.45,1066.65,1067.25,1593
2023-04-03 09:35:00+05:30,1067.25,1067.65,1066.1,1066.45,5616
2023-04-03 09:36:00+05:30,1066.45,1066.95,1066.1,1066.1,2074
2023-04-03 09:37:00+05:30,1066.75,1066.75,1065.05,1065.05,3264
2023-04-03 09:38:00+05:30,1065.35,1066.6,1065.05,1065.55,3355
2023-04-03 09:39:00+05:30,1065.55,1065.95,1064.1,1064.65,4233
2023-04-03 09:40:00+05:30,1064.35,1066,1064.3,1064.5,6627
2023-04-03 09:41:00+05:30,1064.15,1065.4,1064.1,1065.4,8233
2023-04-03 09:42:00+05:30,1065.65,1067.75,1065.35,1067.65,3745
2023-04-03 09:43:00+05:30,1067.65,1067.7,1066.65,1067.65,2692
2023-04-03 09:44:00+05:30,1067.65,1068,1067.2,1067.95,2684
2023-04-03 09:45:00+05:30,1067.95,1069.4,1067.8,1069.4,10225
2023-04-03 09:46:00+05:30,1068.9,1069.4,1068.05,1069.1,3502
2023-04-03 09:47:00+05:30,1069.1,1069.35,1068.65,1069.3,3720
2023-04-03 09:48:00+05:30,1069.35,1069.5,1068.25,1068.5,2845
2023-04-03 09:49:00+05:30,1068.5,1069.2,1068.5,1068.9,3222
2023-04-03 09:50:00+05:30,1068.85,1069,1068.45,1068.6,1948
2023-04-03 09:51:00+05:30,1068.8,1069.1,1068.25,1068.65,5003
2023-04-03 09:52:00+05:30,1068.65,1068.8,1067.35,1067.4,2342
2023-04-03 09:53:00+05:30,1067.3,1067.7,1067,1067.15,3227
2023-04-03 09:54:00+05:30,1067.15,1067.55,1067,1067,5414
2023-04-03 09:55:00+05:30,1067,1067.9,1067,1067.15,1833
2023-04-03 09:56:00+05:30,1067.55,1068,1067,1067.95,3858
2023-04-03 09:57:00+05:30,1067.95,1068.5,1067.95,1068,2172
2023-04-03 09:58:00+05:30,1068,1068.5,1068,1068,1782
2023-04-03 09:59:00+05:30,1068,1069.5,1068,1069.35,3900
2023-04-03 10:00:00+05:30,1069.35,1069.5,1068.3,1069.25,7328
2023-04-03 10:01:00+05:30,1069,1069.4,1068.4,1068.6,1530
2023-04-03 10:02:00+05:30,1068.6,1070.5,1068.6,1068.65,21206
2023-04-03 10:03:00+05:30,1068.65,1069.65,1068.55,1068.8,2014
2023-04-03 10:04:00+05:30,1068.8,1068.95,1068.15,1068.65,3733
2023-04-03 10:05:00+05:30,1068.65,1068.8,1068.1,1068.4,1683
2023-04-03 10:06:00+05:30,1068.4,1069.3,1068.3,1068.95,784
2023-04-03 10:07:00+05:30,1068.95,1068.95,1068.5,1068.55,1610
2023-04-03 10:08:00+05:30,1068.55,1069,1068.5,1068.55,1912
2023-04-03 10:09:00+05:30,1068.55,1069.45,1068.55,1069.45,905
2023-04-03 10:10:00+05:30,1068.9,1069.45,1068.9,1069.3,1212
